"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","doJOZc","W4Efsd 6","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/TBG+FITNESS+YOGYAKARTA/data=!4m7!3m6!1s0x2e7a5942287f1bf9:0xe031a180b5353f8!8m2!3d-7.76386!4d110.4204391!16s%2Fg%2F11wy5rw_hm!19sChIJ-Rt_KEJZei4R-FNTCxgaAw4?authuser=0&hl=id&rclk=1","TBG FITNESS YOGYAKARTA","5,0","(26)","Pusat kebugaran","·","Jl. Utama Jl. Ring Road Utara","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgFoSNCqYFKT3rcS-JJpnkH-p95e000dF7-Cpw2RWIdpwc6QDgXblLJibJqM1SBanmeq1Gt0KWXEfPoqPnpPncyGOlsyoA5GjacebusNOfNvmIsawUWpBB-bUtHxSnEXAkWyM=w122-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman dan alat","gym","bagus dan proper"""
"https://www.google.com/maps/place/Chris+Studio/data=!4m7!3m6!1s0x2e7a593df953370b:0x1f3e0fb50145303e!8m2!3d-7.7296593!4d110.3979423!16s%2Fg%2F11b630zsrp!19sChIJCzdT-T1Zei4RPjBFAbUPPh8?authuser=0&hl=id&rclk=1","Chris Studio","4,2","(25)","Tempat Fitness","·","·","Buka","· Tutup pukul 19.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHB6qdlZ9vTogDtOYo07TsFPQoWVq-AwSekY_V512osJ2CnJj7wQUEzrnOj4rCGSrFvjHCam55WFae9vnXjtIIwfyV_urIRTmP4pnd0m4PsWy1fAdhOtEy0BG4e5WqcbAO0uPz96w=w122-h92-k-no","","No Jl. Kaliurang No.Km.9, RW.No.4","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ownernya ramahhhhh sekalii
Mbak Ningrumm🥰""","",""
"https://www.google.com/maps/place/Cakra+Sport+Centre/data=!4m7!3m6!1s0x2e7a59ab9bf17a89:0x638cfa3762846d16!8m2!3d-7.758296!4d110.381877!16s%2Fg%2F11bbybn4bb!19sChIJiXrxm6tZei4RFm2EYjf6jGM?authuser=0&hl=id&rclk=1","Cakra Sport Centre","4,5","(111)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtYz5vHtxQRsQ2Vpw7A_Wtr4EGG-1jOLj5WPJA1-mJ9eenlAjUuJWO28oHXUU-K4XAuNt_KmwAkTVNMPQzkxUtBEeEjFUdAeulDkeX_PgrBViwkFnFks4YCE8ZRyg5HDFC_NlD=w122-h92-k-no","","Jl. Kaliurang Km. 5,5 No.44 Plaza Cakra Kembang Lt. 3","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""krna mau join""","",""
"https://www.google.com/maps/place/LOKI+GYM/data=!4m7!3m6!1s0x2e7a5993c80a56df:0x31f26e750ea02ed9!8m2!3d-7.7723093!4d110.3984852!16s%2Fg%2F11jyx9rpz8!19sChIJ31YKyJNZei4R2S6gDnVu8jE?authuser=0&hl=id&rclk=1","LOKI GYM","4,9","(29)","Pusat kebugaran","·","Jl. Alamanda","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFv-FR15NI6Kzb6jhhUSfnOvBwS9ZOS6x0NtiyjbfzfMGXnzB1BTdKQhPBW_9dSIVNozn3N1jdj0fVr8oTqWKsQtzMoVK7bU7G68dlUN9WeGytE9CtHAcKsazUM79hbvlyvphTS=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Old School","Gym","."""
"https://www.google.com/maps/place/Rodeo+Fitness/data=!4m7!3m6!1s0x2e7a59af57243c5b:0x5371dc3e32ffb05!8m2!3d-7.7552656!4d110.3988873!16s%2Fg%2F11t7h4nx_c!19sChIJWzwkV69Zei4RBfsv48MdNwU?authuser=0&hl=id&rclk=1","Rodeo Fitness","4,0","(47)","Tempat Fitness","·","·","Buka","· Tutup pukul 22.00","","","Jl. Anggajaya 2 No.15","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alat","gym","lengkap, bersih, dan di rawat dengan baik."""
"https://www.google.com/maps/place/Coach+Play+7+Gym+Jogja/data=!4m7!3m6!1s0x2e7a5974fc7d41f5:0x16bd7c4ddf0791d7!8m2!3d-7.7654968!4d110.4029461!16s%2Fg%2F11tmwyptqv!19sChIJ9UF9_HRZei4R15EH3018vRY?authuser=0&hl=id&rclk=1","Coach Play 7 Gym Jogja","4,7","(37)","Tempat Fitness","·","6CM3+R5C","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqvdvxZi-WXcqApMdSQk4nalleC51ASZ9CmGaoOCPTJv6bj1fuEHZjU9pTObAvKMCuEgsyy70fyrrW42s8A6DjTBIhUCGSmBMK7ngoNebatcvFf0045Gt07FSs5wp8Ene4rXpJWQ=w80-h142-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""-Multi press machine bisa buat flat / incline chest, atau shoulder.""","",""
"https://www.google.com/maps/place/DF+FIT+CLUB/data=!4m7!3m6!1s0x2e7a597aeebd9989:0x8551a3fb57cd17c!8m2!3d-7.7804898!4d110.3926605!16s%2Fg%2F11js7w70j3!19sChIJiZm97npZei4RfNF8tT8aVQg?authuser=0&hl=id&rclk=1","DF FIT CLUB","4,7","(140)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFT-TKDdnQP-8X4_JprBC95Kvq1uUN9hqArpFOVzmznIUQw99ba2fl5fh9c8h7GWmR16Q__wbSm7SOFutN6l8fwYh9qtCiIMkCS9c4dXIhtzi31NlbAZBgqaRs9lLCuvOCugndI=w163-h92-k-no","","Jl. Demangan Baru","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","gym","yg Bersih, nyaman, es americano lemon dan arem2 nya juaraaaaa"""
"https://www.google.com/maps/place/Freedom+Fitness+%26+Gym+Yogyakarta/data=!4m7!3m6!1s0x2e7a59f22a16c077:0xa18fe06a08e3be94!8m2!3d-7.7770725!4d110.4160996!16s%2Fg%2F11c5sqfbdn!19sChIJd8AWKvJZei4RlL7jCGrgj6E?authuser=0&hl=id&rclk=1","Freedom Fitness & Gym Yogyakarta","4,6","(71)","Tempat Fitness","·","Jl. Babarsari No.TB 13, RW.4","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFG4AqinSs0nOP1boiNFvhz6oOGboTe6G5CVmUVT_BVw4sxuDv-MkuOAPGlmzFzxOYiNiELSfS-cPA_PcnTIg_lt-AaTpH-6vKJjMVw5pfSUdEUtSsSvIZF-wfsf0OCqR6Xd0E=w163-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","murah dengan harga dibawah 100k dengan alat yang cukup lengkap."""
"https://www.google.com/maps/place/HAN+ACADEMY+JOGJA+-+METEOR/data=!4m7!3m6!1s0x2e7a5f5600ffd08f:0xd1f77a3473b4ef87!8m2!3d-7.7005205!4d110.414842!16s%2Fg%2F11qnb7f_3b!19sChIJj9D_AFZfei4Rh--0czR699E?authuser=0&hl=id&rclk=1","HAN ACADEMY JOGJA - METEOR","5,0","(54)","Gym Tinju Muay Thai","·","·","Tutup","· Buka pukul 16.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGENU2HPtcRkFC8aNB6K5s9B7XEPp3C4IF36pAwgYk7REctyrgxIm2-Vyj800xM8JLwkmIAg7RBbk7qhoS2ZeKRqfiSMG_4XH1trJDFRdw6LKdgopUWSZzOqoIqzs5ZXuHSQOIxkoEqN4nV=w80-h142-k-no","","Jl. Kaliurang No.22","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Coachnya seru buangett loh""","",""
"https://www.google.com/maps/place/Fitness+Center+HSC+UNY/data=!4m7!3m6!1s0x2e7a59c984d8315f:0x5c2eddf0ea6dff71!8m2!3d-7.7772775!4d110.3863409!16s%2Fg%2F1pzprbz2r!19sChIJXzHYhMlZei4Rcf9t6vDdLlw?authuser=0&hl=id&rclk=1","Fitness Center HSC UNY","4,7","(301)","Tempat Fitness","·","·","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxkXxkB85YEQQRXYHkBTSQ-kwic7f_RNXBTYNJLj9zlwiTfxohPtXIuc6TRHCB_kNfAPTYviUlLB-47SRf8wTjHxHPJkHRNpx5gu-gcM-bwaButORA_wiKMHpiD3kI2oObDt9C=w163-h92-k-no","","Jl. Karangmalang Jl. Colombo No.1","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fasilitas","Gym","lengkap
Terapis jg banyak + expert"""
"https://www.google.com/maps/place/FORZA+GYM/data=!4m7!3m6!1s0x2e7a5900271da937:0x42a9a6d67628e7f8!8m2!3d-7.7730719!4d110.4115328!16s%2Fg%2F11w8n7flbg!19sChIJN6kdJwBZei4R-OcodtamqUI?authuser=0&hl=id&rclk=1","FORZA GYM","5,0","(32)","Tempat Fitness","·","Komplek Ruko babarsari, Jl. Babarsari","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZwWkOap_vJc9kkScjBplfrU3fcTCFpY1aArTBWAkrUWK_dg7G_PsLiRbmmMuOt3i-J3iSGqP23ZgZLywrUZJoXm9OUBeI0gH-Nj3zHzYVjmHR1Ee3HtNR7nX45X-CWV2DCwHIVdgLCPM=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","murah dengan alat yang cukup lengkap"""
"https://www.google.com/maps/place/Lembah+Fitness/data=!4m7!3m6!1s0x2e7a5a2d298f3761:0x24d1d42d8b9c02e0!8m2!3d-7.7517706!4d110.4352823!16s%2Fg%2F11b6bj4jrb!19sChIJYTePKS1aei4R4AKciy3U0SQ?authuser=0&hl=id&rclk=1","Lembah Fitness","4,6","(159)","Pusat kebugaran","·","6CXP+74V, Jl. Raya Tajem Jl. Kadisoka","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsHNcZ0e7GhkmrTuQJsfGOZ7e0jE1PWT6_Rl7w63pARt6MU0qvrtBbWLOHtW8dFXrmZ0VHWAQDz6bZYpsHOvBMXgqzuVv4aHcQaOAP0OfTr8i7e3owef04jc4uv59Y2NLsBt4=w163-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Berapa ya biaya perbulannya""","",""
"https://www.google.com/maps/place/Exercise+Medicine+Centre+UII/data=!4m7!3m6!1s0x2e7a5e983d119b29:0xb2bdc55c6b035e77!8m2!3d-7.6871358!4d110.4179946!16s%2Fg%2F11b7vyw8tg!19sChIJKZsRPZheei4Rd14Da1zFvbI?authuser=0&hl=id&rclk=1","Exercise Medicine Centre UII","4,5","(54)","Tempat Fitness","","","Buka","· Tutup pukul 15.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH99zWs6-GY78I2fIBQoiXNMVVeD33YDNWFV-JsicC4f8p8WKsh-VVqYL4DSyrv3szsq4v1mQS_D5HwLa1O52QVLsH5ll_lmPapOUjGGnNTXtPXaIF80Doa1iozHbhD3EaC53TNIg=w163-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalau pas longgar enak banget.""","",""
"https://www.google.com/maps/place/MASTER+GYM/data=!4m7!3m6!1s0x2e7a591f351dbf67:0x16add91a281dcb1!8m2!3d-7.7348101!4d110.3844044!16s%2Fg%2F11c1n3qp7h!19sChIJZ78dNR9Zei4RsdyBopHdagE?authuser=0&hl=id&rclk=1","MASTER GYM","4,6","(341)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZc_YtenPpSnr5c2YvoJs9rgXHRnk5VJuwvtUF9qLITj1-KQUgFMpaN6_H0B9cewoVpkOWelXj9J1Pt2wjJnj6Sdl1Gcyw9TrU7d50GxS8iKbSINyhWoYzodEl8TX43dVubyaE7t87QVJA=w122-h92-k-no","","798M+3QC","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk","gym","nya size nya sedang untuk kurang lebih 10 orang sekali latihan."""
"https://www.google.com/maps/place/Nerion+Sport+Vilas/data=!4m7!3m6!1s0x2e7a590039dc3001:0x6ae792b9d62171ee!8m2!3d-7.700687!4d110.3869631!16s%2Fg%2F11x7xzfnx1!19sChIJATDcOQBZei4R7nEh1rmS52o?authuser=0&hl=id&rclk=1","Nerion Sport Vilas","4,6","(119)","Tempat Fitness","·","Jl. Palagan Tentara Pelajar No.Km. 11, RW.5","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9IACAOUGwgnzpp-XMDlChFAqKdFMffCKvSTikSL8Ht1_Y9-nwnqbs-_Ue5akzTPB9NOitu62UdnDT9ghUIBLbZtMVgI-QuNgyb8EH9BtifR7MQ65pBne0q0UJNyGvyDw5WFeDefKoYMaU=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","luas, dengan sistem open space jadi ruang terbuka di 2nd floornya."""
"https://www.google.com/maps/place/Infinity+Gym+%26+Club+Jogja/data=!4m7!3m6!1s0x2e7a59003bf79f23:0xfcc924797a2f1227!8m2!3d-7.7709578!4d110.405532!16s%2Fg%2F11wxmjcmmd!19sChIJI5_3OwBZei4RJxIvenkkyfw?authuser=0&hl=id&rclk=1","Infinity Gym & Club Jogja","4,9","(264)","Pusat Kebugaran","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCgPnYfd21E8JGlduOA0JIn3A8VMLcxkGXTXvZJqAAzQwJjVFvb0MTX_2EXg_x7oc89Y1g-LScMxhm3yNffZtwN0wO5HKCgLX4p4_E25koEuK_hPUFD-CHnlQslpbtW0ZeK3_xNB_Xwv_w=w122-h92-k-no","","6CH4+J86, Jl. Perumnas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya comfy, nyaman, bersih, bagussss bangett 🔥🔥🔥🔥"""
"https://www.google.com/maps/place/Olympus+Gym+Yogyakarta/data=!4m7!3m6!1s0x2e7a5b26d54e16d9:0x884eb1e18dfe6887!8m2!3d-7.7728488!4d110.4298264!16s%2Fg%2F11ymfhclpl!19sChIJ2RZO1SZbei4Rh2j-jeGxTog?authuser=0&hl=id&rclk=1","Olympus Gym Yogyakarta","5,0","(26)","Pusat kebugaran","·","Jl. Tobongsari 19, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah, Istimewa Yogyakarta","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVjUqeTp6lkJ2tCJnZr52ps38gWuxBT8BlfN9TmL3BnPQWkL0sc1PDVV0Xo0AO3JrzWo84f1MINCgoieAdqaFJ_nw8BIdsvCtX7jF4da19ydaJyZqnAHCvtFf07kzLCwom9z7ghH5xC68A=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alat-alatnya sangat lengkap,loaded ,  machine, free weights banyak.""","",""
"https://www.google.com/maps/place/Ook+Boulder+Gym/data=!4m7!3m6!1s0x2e7a59bf9d473d53:0x7fee8b586a9a9b31!8m2!3d-7.7410179!4d110.4232628!16s%2Fg%2F11htlztxtb!19sChIJUz1Hnb9Zei4RMZuaaliL7n8?authuser=0&hl=id&rclk=1","Ook Boulder Gym","5,0","(45)","Arena Panjat Tebing Dalam Ruang","·","Jalan Cendrawasih, Rt 01 Rw033 No. 1 Sono","Buka","· Tutup pukul 17.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxKIfujz6hZzDH2w03kHQWF_RkWSVyWLb5edNmjuSfklxH-j02JeECme5UreIkezLYI3-vQZwq2JKRN5j8kua3JhTAaFOyfkcuZmMz9JVgF2VND44nRR1nvXH4AjtAjq2gO7Kcqg=w80-h142-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Seru banget wall climbing nya!!!""","",""
